author name,year,n_int,n_con,place_of_measure,Pre_mean_CRP_int,Pre_SD_CRP_int,Post_mean_CRP_int,Post_SD_CRP_int,Pre_mean_CRP_con,Pre_SD_CRP_con,Post_mean_CRP_con,Post_SD_CRP_con,mean_change_CRP_int,SD_change_CRP_int,mean_change_CRP_con,SD_change_CRP_con,unit_CRP
Dalgard et al. 2009,2009,24,24,,2.8,0.9,,,2.8,0.9,,,-0.2,0.74,-0.1,2,mg/l
Rafraf et al. 2012,2012,42,41,,1.24,0.9,1.21,0.97,1.43,1.21,1.5,1.28,-0.03,0.595063022,0.07,0.790202506,mg/l
Ahmadi et al. 2013,2013,17,24,,10.7,7.9,8.7,8.4,6.9,6.2,7.1,6.2,-2,5.176292109,0.2,3.921224299,mg/l
Ahmadi et al. 2013,2013,24,20,,7.5,6.8,5.9,5.5,8.4,7.8,5.9,5.7,-1.6,4.080441153,-2.5,4.711050838,mg/l
Daud et al. 2013,2013,41,40,,13,20.5,14.3,28,16.6,28.8,17.9,39.5,1.3,16.9070991,1.3,23.86482768,mg/l
El-sisi et al. 2013,2013,20,20,,2.38,4.25,3.04,3.18,2.04,2.3,2.21,2.9,0.66,2.559472602,0.17,1.740114939,mg/l
Mah et al. 2013,2013,16,14,,2.37,5.72,0.64,0.56,2.25,3.29,1.29,1.42,-1.73,5.282696281,-0.96,2.316380798,mg/l
Manning et al. 2013,2013,36,40,,2.6,3.77,2.1,2.14,1.9,2.44,1.9,3.33,-0.5,2.425699899,0,2.010517346,mg/l
Manning et al. 2013,2013,41,34,,2.2,2.66,2,4.37,1.9,1.25,2.2,2.51,-0.2,2.752050145,0.3,1.686001186,
Shadman et al. 2013,2013,17,19,,2.13,3.46,1.15,1.02,2.08,2.36,1.53,1.18,-0.98,2.713904936,-0.55,1.583136128,mg/l
Gopalan et al. 2014,2014,46,42,,2.94,6.35,2.37,3.15,3.32,6.44,5.44,15.2,-0.57,4.270948372,2.12,10.76535183,mg/l
Hejazi et al. 2015,2015,14,13,,2.3,10.98,3.6,3.94,3.6,5.85,2.9,6.74,1.3,8.177168214,-0.7,4.069852577,mg/l
Modi et al. 2015,2015,36,36,,2.6,2.17,2.69,2.26,2.59,2.28,5.58,5.89,0.09,1.403488511,2.99,4.289962704,mg/l
Ramezani et al. 2015,2015,20,22,,3.15,2.6,1.57,1.07,3.02,2.12,1.73,0.81,-1.57,2.41,-1.29,1.99,mg/l
Sohrabi et al. 2016,2016,23,23,,3.7,1.9,,,4.1,1.9,,,-0.98,0.23,-0.34,0.87,mg/l
Sohrabi et al. 2016,2016,23,23,,3.3,1.9,,,4.7,2.3,,,-0.002,0.9,0.06,0.34,mg/l
Stonehouse et al. 2016,2016,28,29,,2.28,1.87,,,2.35,1.38,,,0.38,1.68,-0.07,1.52,mg/l
Pervez et al. 2018,2018,31,33,,4.28,1.49,3.51,1.37,4.41,1.46,4.16,1.42,-0.74,0.29,-0.26,0.3,mg/l
Rachelle et al. 2011,2011,25,25,,13.7,15.5,7.9,2.9,10,13.6,16.4,2.8,-5.8,13.29435971,6.4,11.48355346,mg/l
